"Step","baseline-ts - train/loss","baseline-ts - train/loss__MIN","baseline-ts - train/loss__MAX","baseline-ts-lr0.001-prenorm2postnorm - train/loss","baseline-ts-lr0.001-prenorm2postnorm - train/loss__MIN","baseline-ts-lr0.001-prenorm2postnorm - train/loss__MAX","baseline-ts-lr0.001 - train/loss","baseline-ts-lr0.001 - train/loss__MIN","baseline-ts-lr0.001 - train/loss__MAX","baseline-ts-lr0.0003-prenorm2postnorm - train/loss","baseline-ts-lr0.0003-prenorm2postnorm - train/loss__MIN","baseline-ts-lr0.0003-prenorm2postnorm - train/loss__MAX","baseline-ts-lr0.0003 - train/loss","baseline-ts-lr0.0003 - train/loss__MIN","baseline-ts-lr0.0003 - train/loss__MAX","baseline-ts-prenorm2postnorm - train/loss","baseline-ts-prenorm2postnorm - train/loss__MIN","baseline-ts-prenorm2postnorm - train/loss__MAX"
"0","9.254241943359375","9.254241943359375","9.254241943359375","9.254809379577637","9.254809379577637","9.254809379577637","9.258490562438965","9.258490562438965","9.258490562438965","9.254629135131836","9.254629135131836","9.254629135131836","9.257588386535645","9.257588386535645","9.257588386535645","9.255512237548828","9.255512237548828","9.255512237548828"
"10","8.687047004699707","8.687047004699707","8.687047004699707","9.186589241027832","9.186589241027832","9.186589241027832","9.187612533569336","9.187612533569336","9.187612533569336","9.234485626220703","9.234485626220703","9.234485626220703","9.23703670501709","9.23703670501709","9.23703670501709","8.641403198242188","8.641403198242188","8.641403198242188"
"20","7.507643699645996","7.507643699645996","7.507643699645996","8.972867965698242","8.972867965698242","8.972867965698242","9.00339126586914","9.00339126586914","9.00339126586914","9.16925048828125","9.16925048828125","9.16925048828125","9.180542945861816","9.180542945861816","9.180542945861816","7.5035929679870605","7.5035929679870605","7.5035929679870605"
"30","6.120179653167725","6.120179653167725","6.120179653167725","8.62065601348877","8.62065601348877","8.62065601348877","8.677218437194824","8.677218437194824","8.677218437194824","9.052793502807617","9.052793502807617","9.052793502807617","9.078337669372559","9.078337669372559","9.078337669372559","6.123193264007568","6.123193264007568","6.123193264007568"
"40","5.115731239318848","5.115731239318848","5.115731239318848","8.172534942626953","8.172534942626953","8.172534942626953","8.268335342407227","8.268335342407227","8.268335342407227","8.901954650878906","8.901954650878906","8.901954650878906","8.933086395263672","8.933086395263672","8.933086395263672","5.141258239746094","5.141258239746094","5.141258239746094"
"50","4.543473243713379","4.543473243713379","4.543473243713379","7.772334098815918","7.772334098815918","7.772334098815918","7.827849388122559","7.827849388122559","7.827849388122559","8.672452926635742","8.672452926635742","8.672452926635742","8.762567520141602","8.762567520141602","8.762567520141602","4.563133239746094","4.563133239746094","4.563133239746094"
"60","4.153042793273926","4.153042793273926","4.153042793273926","7.360994338989258","7.360994338989258","7.360994338989258","7.409239768981934","7.409239768981934","7.409239768981934","8.438873291015625","8.438873291015625","8.438873291015625","8.528888702392578","8.528888702392578","8.528888702392578","4.210748672485352","4.210748672485352","4.210748672485352"
"70","3.8719706535339355","3.8719706535339355","3.8719706535339355","6.892421245574951","6.892421245574951","6.892421245574951","6.9145307540893555","6.9145307540893555","6.9145307540893555","8.195867538452148","8.195867538452148","8.195867538452148","8.279902458190918","8.279902458190918","8.279902458190918","3.824699640274048","3.824699640274048","3.824699640274048"
"80","3.6697912216186523","3.6697912216186523","3.6697912216186523","6.425124168395996","6.425124168395996","6.425124168395996","6.462466239929199","6.462466239929199","6.462466239929199","7.949501991271973","7.949501991271973","7.949501991271973","8.022825241088867","8.022825241088867","8.022825241088867","3.5450687408447266","3.5450687408447266","3.5450687408447266"
"90","3.533937454223633","3.533937454223633","3.533937454223633","5.975995063781738","5.975995063781738","5.975995063781738","6.022262096405029","6.022262096405029","6.022262096405029","7.736653804779053","7.736653804779053","7.736653804779053","7.7928266525268555","7.7928266525268555","7.7928266525268555","3.4060380458831787","3.4060380458831787","3.4060380458831787"
"100","3.3442540168762207","3.3442540168762207","3.3442540168762207","5.590392112731934","5.590392112731934","5.590392112731934","5.613915920257568","5.613915920257568","5.613915920257568","7.501467704772949","7.501467704772949","7.501467704772949","7.552985191345215","7.552985191345215","7.552985191345215","3.233393669128418","3.233393669128418","3.233393669128418"
"110","3.181504249572754","3.181504249572754","3.181504249572754","5.24283504486084","5.24283504486084","5.24283504486084","5.252622604370117","5.252622604370117","5.252622604370117","7.242547035217285","7.242547035217285","7.242547035217285","7.307077884674072","7.307077884674072","7.307077884674072","3.042849540710449","3.042849540710449","3.042849540710449"
"120","3.045448064804077","3.045448064804077","3.045448064804077","5.008020877838135","5.008020877838135","5.008020877838135","5.032471656799316","5.032471656799316","5.032471656799316","6.980957984924316","6.980957984924316","6.980957984924316","7.032231330871582","7.032231330871582","7.032231330871582","2.970696449279785","2.970696449279785","2.970696449279785"
"130","2.962277889251709","2.962277889251709","2.962277889251709","4.760445594787598","4.760445594787598","4.760445594787598","4.780405044555664","4.780405044555664","4.780405044555664","6.734409332275391","6.734409332275391","6.734409332275391","6.777343273162842","6.777343273162842","6.777343273162842","2.950514078140259","2.950514078140259","2.950514078140259"
"140","2.9215378761291504","2.9215378761291504","2.9215378761291504","4.550503730773926","4.550503730773926","4.550503730773926","4.466839790344238","4.466839790344238","4.466839790344238","6.468711853027344","6.468711853027344","6.468711853027344","6.522206783294678","6.522206783294678","6.522206783294678","2.8101508617401123","2.8101508617401123","2.8101508617401123"
"150","2.914281129837036","2.914281129837036","2.914281129837036","4.379599094390869","4.379599094390869","4.379599094390869","4.340666770935059","4.340666770935059","4.340666770935059","6.202237129211426","6.202237129211426","6.202237129211426","6.256053924560547","6.256053924560547","6.256053924560547","2.833097219467163","2.833097219467163","2.833097219467163"
"160","2.78271484375","2.78271484375","2.78271484375","4.093502044677734","4.093502044677734","4.093502044677734","4.163624286651611","4.163624286651611","4.163624286651611","5.948393821716309","5.948393821716309","5.948393821716309","5.998499870300293","5.998499870300293","5.998499870300293","2.714672565460205","2.714672565460205","2.714672565460205"
"170","2.6780269145965576","2.6780269145965576","2.6780269145965576","3.979306697845459","3.979306697845459","3.979306697845459","4.0202741622924805","4.0202741622924805","4.0202741622924805","5.748844146728516","5.748844146728516","5.748844146728516","5.798151969909668","5.798151969909668","5.798151969909668","2.6330459117889404","2.6330459117889404","2.6330459117889404"
"180","2.6986212730407715","2.6986212730407715","2.6986212730407715","3.861814260482788","3.861814260482788","3.861814260482788","3.8741698265075684","3.8741698265075684","3.8741698265075684","5.500111103057861","5.500111103057861","5.500111103057861","5.522822856903076","5.522822856903076","5.522822856903076","2.579355239868164","2.579355239868164","2.579355239868164"
"190","2.563809394836426","2.563809394836426","2.563809394836426","3.777060031890869","3.777060031890869","3.777060031890869","3.6994266510009766","3.6994266510009766","3.6994266510009766","5.311761856079102","5.311761856079102","5.311761856079102","5.298458576202393","5.298458576202393","5.298458576202393","2.5307106971740723","2.5307106971740723","2.5307106971740723"
"200","2.5340614318847656","2.5340614318847656","2.5340614318847656","3.729433059692383","3.729433059692383","3.729433059692383","3.6528067588806152","3.6528067588806152","3.6528067588806152","5.158425331115723","5.158425331115723","5.158425331115723","5.1916351318359375","5.1916351318359375","5.1916351318359375","2.596252679824829","2.596252679824829","2.596252679824829"
