"Step","baseline-ts - train/loss","baseline-ts - train/loss__MIN","baseline-ts - train/loss__MAX","baseline-ts-wo_rmsnorm - train/loss","baseline-ts-wo_rmsnorm - train/loss__MIN","baseline-ts-wo_rmsnorm - train/loss__MAX"
"0","9.254241943359375","9.254241943359375","9.254241943359375","15.959866523742676","15.959866523742676","15.959866523742676"
"10","8.687047004699707","8.687047004699707","8.687047004699707","11.023542404174805","11.023542404174805","11.023542404174805"
"20","7.507643699645996","7.507643699645996","7.507643699645996","8.728265762329102","8.728265762329102","8.728265762329102"
"30","6.120179653167725","6.120179653167725","6.120179653167725","6.312873363494873","6.312873363494873","6.312873363494873"
"40","5.115731239318848","5.115731239318848","5.115731239318848","5.222497940063477","5.222497940063477","5.222497940063477"
"50","4.543473243713379","4.543473243713379","4.543473243713379","4.800440788269043","4.800440788269043","4.800440788269043"
"60","4.153042793273926","4.153042793273926","4.153042793273926","4.428560733795166","4.428560733795166","4.428560733795166"
"70","3.8719706535339355","3.8719706535339355","3.8719706535339355","4.216835975646973","4.216835975646973","4.216835975646973"
"80","3.6697912216186523","3.6697912216186523","3.6697912216186523","4.049178600311279","4.049178600311279","4.049178600311279"
"90","3.533937454223633","3.533937454223633","3.533937454223633","3.856788158416748","3.856788158416748","3.856788158416748"
"100","3.3442540168762207","3.3442540168762207","3.3442540168762207","3.7084360122680664","3.7084360122680664","3.7084360122680664"
"110","3.181504249572754","3.181504249572754","3.181504249572754","3.576533555984497","3.576533555984497","3.576533555984497"
"120","3.045448064804077","3.045448064804077","3.045448064804077","3.3655171394348145","3.3655171394348145","3.3655171394348145"
"130","2.962277889251709","2.962277889251709","2.962277889251709","3.266017198562622","3.266017198562622","3.266017198562622"
"140","2.9215378761291504","2.9215378761291504","2.9215378761291504","3.125051736831665","3.125051736831665","3.125051736831665"
"150","2.914281129837036","2.914281129837036","2.914281129837036","3.0282678604125977","3.0282678604125977","3.0282678604125977"
"160","2.78271484375","2.78271484375","2.78271484375","2.9490766525268555","2.9490766525268555","2.9490766525268555"
"170","2.6780269145965576","2.6780269145965576","2.6780269145965576","2.9262025356292725","2.9262025356292725","2.9262025356292725"
"180","2.6986212730407715","2.6986212730407715","2.6986212730407715","2.7955222129821777","2.7955222129821777","2.7955222129821777"
"190","2.563809394836426","2.563809394836426","2.563809394836426","2.8261666297912598","2.8261666297912598","2.8261666297912598"
"200","2.5340614318847656","2.5340614318847656","2.5340614318847656","2.8149657249450684","2.8149657249450684","2.8149657249450684"
"210","2.5643696784973145","2.5643696784973145","2.5643696784973145","2.702390432357788","2.702390432357788","2.702390432357788"
"220","2.46791934967041","2.46791934967041","2.46791934967041","2.6707162857055664","2.6707162857055664","2.6707162857055664"
"230","2.472532272338867","2.472532272338867","2.472532272338867","2.7218008041381836","2.7218008041381836","2.7218008041381836"
"240","2.4513139724731445","2.4513139724731445","2.4513139724731445","2.7123236656188965","2.7123236656188965","2.7123236656188965"
"250","2.5097391605377197","2.5097391605377197","2.5097391605377197","2.581331253051758","2.581331253051758","2.581331253051758"
"260","2.389815330505371","2.389815330505371","2.389815330505371","2.6097116470336914","2.6097116470336914","2.6097116470336914"
"270","2.3613944053649902","2.3613944053649902","2.3613944053649902","2.581526756286621","2.581526756286621","2.581526756286621"
"280","2.3551599979400635","2.3551599979400635","2.3551599979400635","2.7162370681762695","2.7162370681762695","2.7162370681762695"
"290","2.277306079864502","2.277306079864502","2.277306079864502","651200256","651200256","651200256"
"300","2.299082040786743","2.299082040786743","2.299082040786743","33412511248154624","33412511248154624","33412511248154624"
"310","2.2460474967956543","2.2460474967956543","2.2460474967956543","2.5523974347016893e+23","2.5523974347016893e+23","2.5523974347016893e+23"
"320","2.305225372314453","2.305225372314453","2.305225372314453","3235058977544864000","3235058977544864000","3235058977544864000"
"330","2.28419828414917","2.28419828414917","2.28419828414917","20540766167832200000","20540766167832200000","20540766167832200000"
"340","2.2509851455688477","2.2509851455688477","2.2509851455688477","4584472555884118000","4584472555884118000","4584472555884118000"
"350","2.1843295097351074","2.1843295097351074","2.1843295097351074","94790568688243180000","94790568688243180000","94790568688243180000"
"360","2.1657235622406006","2.1657235622406006","2.1657235622406006","710034632132721100000","710034632132721100000","710034632132721100000"
"370","2.2495884895324707","2.2495884895324707","2.2495884895324707","2032234488443961300","2032234488443961300","2032234488443961300"
"380","2.2862913608551025","2.2862913608551025","2.2862913608551025","120104748039832340000","120104748039832340000","120104748039832340000"
"390","2.209561824798584","2.209561824798584","2.209561824798584","94737598616063440000","94737598616063440000","94737598616063440000"
"400","2.2039880752563477","2.2039880752563477","2.2039880752563477","77371753637294900000","77371753637294900000","77371753637294900000"
"410","2.2076644897460938","2.2076644897460938","2.2076644897460938","153358301294231550","153358301294231550","153358301294231550"
"420","2.2112436294555664","2.2112436294555664","2.2112436294555664","2.936433426158409e+23","2.936433426158409e+23","2.936433426158409e+23"
"430","2.12469482421875","2.12469482421875","2.12469482421875","6866220317530915000","6866220317530915000","6866220317530915000"
"440","2.226428747177124","2.226428747177124","2.226428747177124","30923944919826430","30923944919826430","30923944919826430"
"450","2.1952953338623047","2.1952953338623047","2.1952953338623047","2.700543524588027e+23","2.700543524588027e+23","2.700543524588027e+23"
"460","2.141045570373535","2.141045570373535","2.141045570373535","6834400451023077000","6834400451023077000","6834400451023077000"
"470","2.185819625854492","2.185819625854492","2.185819625854492","1074612362331291600","1074612362331291600","1074612362331291600"
"480","2.133882522583008","2.133882522583008","2.133882522583008","4272848145706123300","4272848145706123300","4272848145706123300"
"490","2.186420202255249","2.186420202255249","2.186420202255249","11524964334115488000","11524964334115488000","11524964334115488000"
"500","2.215787649154663","2.215787649154663","2.215787649154663","2551612720201859000","2551612720201859000","2551612720201859000"
"510","2.1188645362854004","2.1188645362854004","2.1188645362854004","64290731860248490000","64290731860248490000","64290731860248490000"
"520","2.167888641357422","2.167888641357422","2.167888641357422","3930167204967874600","3930167204967874600","3930167204967874600"
"530","2.0995984077453613","2.0995984077453613","2.0995984077453613","1347701363856900000","1347701363856900000","1347701363856900000"
"540","2.112722396850586","2.112722396850586","2.112722396850586","2.507370085339269e+23","2.507370085339269e+23","2.507370085339269e+23"
"550","2.198267698287964","2.198267698287964","2.198267698287964","2469036923054719000","2469036923054719000","2469036923054719000"
"560","2.0496065616607666","2.0496065616607666","2.0496065616607666","4.780369963766416e+23","4.780369963766416e+23","4.780369963766416e+23"
"570","2.174899101257324","2.174899101257324","2.174899101257324","31195264738423472000","31195264738423472000","31195264738423472000"
"580","2.1742687225341797","2.1742687225341797","2.1742687225341797","7571902788796416","7571902788796416","7571902788796416"
"590","2.125786542892456","2.125786542892456","2.125786542892456","3994198913878851600","3994198913878851600","3994198913878851600"
"600","2.039395809173584","2.039395809173584","2.039395809173584","2.021474920102415e+23","2.021474920102415e+23","2.021474920102415e+23"
"610","2.073197364807129","2.073197364807129","2.073197364807129","84502278957957120","84502278957957120","84502278957957120"
"620","2.1178345680236816","2.1178345680236816","2.1178345680236816","5428139372748734000","5428139372748734000","5428139372748734000"
"630","2.0706264972686768","2.0706264972686768","2.0706264972686768","62933046106177670000","62933046106177670000","62933046106177670000"
"640","2.0945699214935303","2.0945699214935303","2.0945699214935303","1619746653969842200","1619746653969842200","1619746653969842200"
"650","2.060242176055908","2.060242176055908","2.060242176055908","9890690133655552","9890690133655552","9890690133655552"
"660","2.0758442878723145","2.0758442878723145","2.0758442878723145","3630147865143148500","3630147865143148500","3630147865143148500"
"670","2.0562353134155273","2.0562353134155273","2.0562353134155273","6393684304773251000","6393684304773251000","6393684304773251000"
"680","2.0519795417785645","2.0519795417785645","2.0519795417785645","1129715349629960200","1129715349629960200","1129715349629960200"
"690","2.081368923187256","2.081368923187256","2.081368923187256","1560563653898403800","1560563653898403800","1560563653898403800"
"700","1.9996459484100342","1.9996459484100342","1.9996459484100342","1.087176198027888e+21","1.087176198027888e+21","1.087176198027888e+21"
"710","2.0875892639160156","2.0875892639160156","2.0875892639160156","1386094935509303300","1386094935509303300","1386094935509303300"
"720","2.038212299346924","2.038212299346924","2.038212299346924","5940233065094709000","5940233065094709000","5940233065094709000"
"730","2.0277156829833984","2.0277156829833984","2.0277156829833984","1378507755521835000","1378507755521835000","1378507755521835000"
"740","1.9770455360412598","1.9770455360412598","1.9770455360412598","14693087242784604000","14693087242784604000","14693087242784604000"
"750","1.998748540878296","1.998748540878296","1.998748540878296","29881214202812563000","29881214202812563000","29881214202812563000"
"760","2.058269500732422","2.058269500732422","2.058269500732422","2.467353913800222e+21","2.467353913800222e+21","2.467353913800222e+21"
"770","2.02303409576416","2.02303409576416","2.02303409576416","6963928418333229000","6963928418333229000","6963928418333229000"
"780","2.028108835220337","2.028108835220337","2.028108835220337","1.638285413972657e+21","1.638285413972657e+21","1.638285413972657e+21"
"790","2.0134100914001465","2.0134100914001465","2.0134100914001465","1.4350390886893334e+21","1.4350390886893334e+21","1.4350390886893334e+21"
"800","1.9822620153427124","1.9822620153427124","1.9822620153427124","2.2731989487896756e+21","2.2731989487896756e+21","2.2731989487896756e+21"
"810","1.9965033531188965","1.9965033531188965","1.9965033531188965","3.7517782757264736e+21","3.7517782757264736e+21","3.7517782757264736e+21"
"820","1.9707611799240112","1.9707611799240112","1.9707611799240112","341418289072701440","341418289072701440","341418289072701440"
"830","1.9632978439331055","1.9632978439331055","1.9632978439331055","547372143047725800000","547372143047725800000","547372143047725800000"
"840","1.9159765243530273","1.9159765243530273","1.9159765243530273","328913268452098050","328913268452098050","328913268452098050"
"850","1.9702391624450684","1.9702391624450684","1.9702391624450684","763067543601008300000","763067543601008300000","763067543601008300000"
"860","1.9400681257247925","1.9400681257247925","1.9400681257247925","237593801897650700000","237593801897650700000","237593801897650700000"
"870","1.9184092283248901","1.9184092283248901","1.9184092283248901","163231420381671720000","163231420381671720000","163231420381671720000"
"880","1.9760627746582031","1.9760627746582031","1.9760627746582031","3.26549019394013e+23","3.26549019394013e+23","3.26549019394013e+23"
"890","1.9599939584732056","1.9599939584732056","1.9599939584732056","22110356399877784000","22110356399877784000","22110356399877784000"
"900","1.8855364322662354","1.8855364322662354","1.8855364322662354","292135876637944200000","292135876637944200000","292135876637944200000"
"910","1.9724282026290894","1.9724282026290894","1.9724282026290894","77201558033408200000","77201558033408200000","77201558033408200000"
"920","1.90309476852417","1.90309476852417","1.90309476852417","14319287374201225000","14319287374201225000","14319287374201225000"
"930","1.9726378917694092","1.9726378917694092","1.9726378917694092","90870194008710180000","90870194008710180000","90870194008710180000"
"940","1.9182356595993042","1.9182356595993042","1.9182356595993042","701932277621325800","701932277621325800","701932277621325800"
"950","1.9577393531799316","1.9577393531799316","1.9577393531799316","599914847152373800","599914847152373800","599914847152373800"
"960","1.8738999366760254","1.8738999366760254","1.8738999366760254","26765209244811657000","26765209244811657000","26765209244811657000"
"970","1.9138455390930176","1.9138455390930176","1.9138455390930176","244552672562496140000","244552672562496140000","244552672562496140000"
"980","1.8687515258789062","1.8687515258789062","1.8687515258789062","39280105678855730000","39280105678855730000","39280105678855730000"
"990","1.9865350723266602","1.9865350723266602","1.9865350723266602","436657917551181800","436657917551181800","436657917551181800"
"1000","1.9111229181289673","1.9111229181289673","1.9111229181289673","28755652945551294000","28755652945551294000","28755652945551294000"
"1010","1.9259083271026611","1.9259083271026611","1.9259083271026611","9301408775124550000","9301408775124550000","9301408775124550000"
"1020","1.8875179290771484","1.8875179290771484","1.8875179290771484","5199849972496859000","5199849972496859000","5199849972496859000"
"1030","1.902022361755371","1.902022361755371","1.902022361755371","2818077713925931000","2818077713925931000","2818077713925931000"
"1040","1.890956997871399","1.890956997871399","1.890956997871399","30831412151536583000","30831412151536583000","30831412151536583000"
"1050","1.8274731636047363","1.8274731636047363","1.8274731636047363","1.1625420941308358e+22","1.1625420941308358e+22","1.1625420941308358e+22"
"1060","1.837934970855713","1.837934970855713","1.837934970855713","13289863015626179000","13289863015626179000","13289863015626179000"
"1070","1.8792386054992676","1.8792386054992676","1.8792386054992676","118325301032779780","118325301032779780","118325301032779780"
"1080","1.8479952812194824","1.8479952812194824","1.8479952812194824","14055270443116397000","14055270443116397000","14055270443116397000"
"1090","1.8222248554229736","1.8222248554229736","1.8222248554229736","8116213305707594000","8116213305707594000","8116213305707594000"
"1100","1.8228752613067627","1.8228752613067627","1.8228752613067627","5.834925589106012e+25","5.834925589106012e+25","5.834925589106012e+25"
"1110","1.9316290616989136","1.9316290616989136","1.9316290616989136","6.818028212444696e+25","6.818028212444696e+25","6.818028212444696e+25"
