"Step","baseline-ts - train/loss","baseline-ts - train/loss__MIN","baseline-ts - train/loss__MAX","baseline-ts-lr0.001 - train/loss","baseline-ts-lr0.001 - train/loss__MIN","baseline-ts-lr0.001 - train/loss__MAX","baseline-ts-wo_rope - train/loss","baseline-ts-wo_rope - train/loss__MIN","baseline-ts-wo_rope - train/loss__MAX","baseline-ts-lr0.001-wo_rope - train/loss","baseline-ts-lr0.001-wo_rope - train/loss__MIN","baseline-ts-lr0.001-wo_rope - train/loss__MAX","baseline-ts-lr0.0003 - train/loss","baseline-ts-lr0.0003 - train/loss__MIN","baseline-ts-lr0.0003 - train/loss__MAX","baseline-ts-lr0.0003-wo_rope - train/loss","baseline-ts-lr0.0003-wo_rope - train/loss__MIN","baseline-ts-lr0.0003-wo_rope - train/loss__MAX"
"0","9.254241943359375","9.254241943359375","9.254241943359375","9.258490562438965","9.258490562438965","9.258490562438965","9.25417423248291","9.25417423248291","9.25417423248291","9.254463195800781","9.254463195800781","9.254463195800781","9.257588386535645","9.257588386535645","9.257588386535645","9.257759094238281","9.257759094238281","9.257759094238281"
"10","8.687047004699707","8.687047004699707","8.687047004699707","9.187612533569336","9.187612533569336","9.187612533569336","8.68569278717041","8.68569278717041","8.68569278717041","9.195761680603027","9.195761680603027","9.195761680603027","9.23703670501709","9.23703670501709","9.23703670501709","9.236961364746094","9.236961364746094","9.236961364746094"
"20","7.507643699645996","7.507643699645996","7.507643699645996","9.00339126586914","9.00339126586914","9.00339126586914","7.490533351898193","7.490533351898193","7.490533351898193","8.99658203125","8.99658203125","8.99658203125","9.180542945861816","9.180542945861816","9.180542945861816","9.173421859741211","9.173421859741211","9.173421859741211"
"30","6.120179653167725","6.120179653167725","6.120179653167725","8.677218437194824","8.677218437194824","8.677218437194824","6.0750017166137695","6.0750017166137695","6.0750017166137695","8.691688537597656","8.691688537597656","8.691688537597656","9.078337669372559","9.078337669372559","9.078337669372559","9.077535629272461","9.077535629272461","9.077535629272461"
"40","5.115731239318848","5.115731239318848","5.115731239318848","8.268335342407227","8.268335342407227","8.268335342407227","5.1184611320495605","5.1184611320495605","5.1184611320495605","8.268027305603027","8.268027305603027","8.268027305603027","8.933086395263672","8.933086395263672","8.933086395263672","8.94139575958252","8.94139575958252","8.94139575958252"
"50","4.543473243713379","4.543473243713379","4.543473243713379","7.827849388122559","7.827849388122559","7.827849388122559","4.540106296539307","4.540106296539307","4.540106296539307","7.80564022064209","7.80564022064209","7.80564022064209","8.762567520141602","8.762567520141602","8.762567520141602","8.762866973876953","8.762866973876953","8.762866973876953"
"60","4.153042793273926","4.153042793273926","4.153042793273926","7.409239768981934","7.409239768981934","7.409239768981934","4.1919684410095215","4.1919684410095215","4.1919684410095215","7.363274574279785","7.363274574279785","7.363274574279785","8.528888702392578","8.528888702392578","8.528888702392578","8.525569915771484","8.525569915771484","8.525569915771484"
"70","3.8719706535339355","3.8719706535339355","3.8719706535339355","6.9145307540893555","6.9145307540893555","6.9145307540893555","3.8860023021698","3.8860023021698","3.8860023021698","6.907446384429932","6.907446384429932","6.907446384429932","8.279902458190918","8.279902458190918","8.279902458190918","8.279803276062012","8.279803276062012","8.279803276062012"
"80","3.6697912216186523","3.6697912216186523","3.6697912216186523","6.462466239929199","6.462466239929199","6.462466239929199","3.8193767070770264","3.8193767070770264","3.8193767070770264","6.414623737335205","6.414623737335205","6.414623737335205","8.022825241088867","8.022825241088867","8.022825241088867","8.027463912963867","8.027463912963867","8.027463912963867"
"90","3.533937454223633","3.533937454223633","3.533937454223633","6.022262096405029","6.022262096405029","6.022262096405029","3.739152669906616","3.739152669906616","3.739152669906616","5.955226898193359","5.955226898193359","5.955226898193359","7.7928266525268555","7.7928266525268555","7.7928266525268555","7.773193359375","7.773193359375","7.773193359375"
