"Step","baseline-ts - train/loss","baseline-ts - train/loss__MIN","baseline-ts - train/loss__MAX","baseline-ts-swiglu2silu - train/loss","baseline-ts-swiglu2silu - train/loss__MIN","baseline-ts-swiglu2silu - train/loss__MAX","baseline-ts-lr0.001 - train/loss","baseline-ts-lr0.001 - train/loss__MIN","baseline-ts-lr0.001 - train/loss__MAX","baseline-ts-lr0.001-swiglu2silu - train/loss","baseline-ts-lr0.001-swiglu2silu - train/loss__MIN","baseline-ts-lr0.001-swiglu2silu - train/loss__MAX","baseline-ts-lr0.0003 - train/loss","baseline-ts-lr0.0003 - train/loss__MIN","baseline-ts-lr0.0003 - train/loss__MAX","baseline-ts-lr0.0003-swiglu2silu - train/loss","baseline-ts-lr0.0003-swiglu2silu - train/loss__MIN","baseline-ts-lr0.0003-swiglu2silu - train/loss__MAX"
"0","9.254241943359375","9.254241943359375","9.254241943359375","9.271310806274414","9.271310806274414","9.271310806274414","9.258490562438965","9.258490562438965","9.258490562438965","9.261638641357422","9.261638641357422","9.261638641357422","9.257588386535645","9.257588386535645","9.257588386535645","9.266681671142578","9.266681671142578","9.266681671142578"
"10","8.687047004699707","8.687047004699707","8.687047004699707","8.541236877441406","8.541236877441406","8.541236877441406","9.187612533569336","9.187612533569336","9.187612533569336","9.178478240966797","9.178478240966797","9.178478240966797","9.23703670501709","9.23703670501709","9.23703670501709","9.237557411193848","9.237557411193848","9.237557411193848"
"20","7.507643699645996","7.507643699645996","7.507643699645996","7.448755264282227","7.448755264282227","7.448755264282227","9.00339126586914","9.00339126586914","9.00339126586914","8.901165008544922","8.901165008544922","8.901165008544922","9.180542945861816","9.180542945861816","9.180542945861816","9.152827262878418","9.152827262878418","9.152827262878418"
"30","6.120179653167725","6.120179653167725","6.120179653167725","6.181474685668945","6.181474685668945","6.181474685668945","8.677218437194824","8.677218437194824","8.677218437194824","8.512784004211426","8.512784004211426","8.512784004211426","9.078337669372559","9.078337669372559","9.078337669372559","9.010251998901367","9.010251998901367","9.010251998901367"
"40","5.115731239318848","5.115731239318848","5.115731239318848","5.300045490264893","5.300045490264893","5.300045490264893","8.268335342407227","8.268335342407227","8.268335342407227","8.118223190307617","8.118223190307617","8.118223190307617","8.933086395263672","8.933086395263672","8.933086395263672","8.813116073608398","8.813116073608398","8.813116073608398"
"50","4.543473243713379","4.543473243713379","4.543473243713379","4.702566623687744","4.702566623687744","4.702566623687744","7.827849388122559","7.827849388122559","7.827849388122559","7.730347633361816","7.730347633361816","7.730347633361816","8.762567520141602","8.762567520141602","8.762567520141602","8.590683937072754","8.590683937072754","8.590683937072754"
"60","4.153042793273926","4.153042793273926","4.153042793273926","4.36566162109375","4.36566162109375","4.36566162109375","7.409239768981934","7.409239768981934","7.409239768981934","7.339846611022949","7.339846611022949","7.339846611022949","8.528888702392578","8.528888702392578","8.528888702392578","8.362234115600586","8.362234115600586","8.362234115600586"
"70","3.8719706535339355","3.8719706535339355","3.8719706535339355","4.058249473571777","4.058249473571777","4.058249473571777","6.9145307540893555","6.9145307540893555","6.9145307540893555","6.887451171875","6.887451171875","6.887451171875","8.279902458190918","8.279902458190918","8.279902458190918","8.134771347045898","8.134771347045898","8.134771347045898"
"80","3.6697912216186523","3.6697912216186523","3.6697912216186523","3.7581965923309326","3.7581965923309326","3.7581965923309326","6.462466239929199","6.462466239929199","6.462466239929199","6.456740379333496","6.456740379333496","6.456740379333496","8.022825241088867","8.022825241088867","8.022825241088867","7.923254489898682","7.923254489898682","7.923254489898682"
"90","3.533937454223633","3.533937454223633","3.533937454223633","3.571986675262451","3.571986675262451","3.571986675262451","6.022262096405029","6.022262096405029","6.022262096405029","6.051514148712158","6.051514148712158","6.051514148712158","7.7928266525268555","7.7928266525268555","7.7928266525268555","7.689085483551025","7.689085483551025","7.689085483551025"
