"Relative Time (Process)","ts-bs128 - system/gpu.0.memoryAllocatedBytes","ts-bs128 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs128 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs64 - system/gpu.0.memoryAllocatedBytes","ts-bs64 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs64 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs32 - system/gpu.0.memoryAllocatedBytes","ts-bs32 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs32 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs256 - system/gpu.0.memoryAllocatedBytes","ts-bs256 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs256 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs16 - system/gpu.0.memoryAllocatedBytes","ts-bs16 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs16 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs512 - system/gpu.0.memoryAllocatedBytes","ts-bs512 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs512 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs8 - system/gpu.0.memoryAllocatedBytes","ts-bs8 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs8 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs768 - system/gpu.0.memoryAllocatedBytes","ts-bs768 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs768 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs4 - system/gpu.0.memoryAllocatedBytes","ts-bs4 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs4 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs2 - system/gpu.0.memoryAllocatedBytes","ts-bs2 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs2 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs1 - system/gpu.0.memoryAllocatedBytes","ts-bs1 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs1 - system/gpu.0.memoryAllocatedBytes__MAX"
"15.145979","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15.167036","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"15.17038","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"15.173929","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"15.208211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"15.221449","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"15.309081","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15.335555","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"15.414591","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"15.4322","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"28.086294","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"30.145979","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.166068","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"30.168725","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"30.17702","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"30.208032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"30.220634","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"30.309408","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.343274","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"30.411133","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"30.414291","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"43.11724","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"45.14659","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45.166537","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"45.169329","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"45.17338","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
