"Step","owt-lr0.01 - train/lr","owt-lr0.01 - train/lr__MIN","owt-lr0.01 - train/lr__MAX","owt-lr0.006 - train/lr","owt-lr0.006 - train/lr__MIN","owt-lr0.006 - train/lr__MAX","owt-lr0.003 - train/lr","owt-lr0.003 - train/lr__MIN","owt-lr0.003 - train/lr__MAX","owt-lr0.001 - train/lr","owt-lr0.001 - train/lr__MIN","owt-lr0.001 - train/lr__MAX","owt-lr0.0003 - train/lr","owt-lr0.0003 - train/lr__MIN","owt-lr0.0003 - train/lr__MAX","owt-lr0.0001 - train/lr","owt-lr0.0001 - train/lr__MIN","owt-lr0.0001 - train/lr__MAX","owt-lr3e-05 - train/lr","owt-lr3e-05 - train/lr__MIN","owt-lr3e-05 - train/lr__MAX","owt-lr0.03 - train/lr","owt-lr0.03 - train/lr__MIN","owt-lr0.03 - train/lr__MAX","owt-lr1e-05 - train/lr","owt-lr1e-05 - train/lr__MIN","owt-lr1e-05 - train/lr__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0.0001","0.0001","0.0001","0.00006","0.00006","0.00006","0.00003","0.00003","0.00003","0.00001","0.00001","0.00001","0.0000029999999999999997","0.0000029999999999999997","0.0000029999999999999997","0.0000010000000000000002","0.0000010000000000000002","0.0000010000000000000002","3.0000000000000004e-7","3.0000000000000004e-7","3.0000000000000004e-7","0.0003","0.0003","0.0003","1.0000000000000001e-7","1.0000000000000001e-7","1.0000000000000001e-7"
"20","0.0002","0.0002","0.0002","0.00012","0.00012","0.00012","0.00006","0.00006","0.00006","0.00002","0.00002","0.00002","0.000005999999999999999","0.000005999999999999999","0.000005999999999999999","0.0000020000000000000003","0.0000020000000000000003","0.0000020000000000000003","6.000000000000001e-7","6.000000000000001e-7","6.000000000000001e-7","0.0006","0.0006","0.0006","2.0000000000000002e-7","2.0000000000000002e-7","2.0000000000000002e-7"
"30","0.0003","0.0003","0.0003","0.00017999999999999998","0.00017999999999999998","0.00017999999999999998","0.00008999999999999999","0.00008999999999999999","0.00008999999999999999","0.00003","0.00003","0.00003","0.000008999999999999999","0.000008999999999999999","0.000008999999999999999","0.000003","0.000003","0.000003","9e-7","9e-7","9e-7","0.0009","0.0009","0.0009","3.0000000000000004e-7","3.0000000000000004e-7","3.0000000000000004e-7"
"40","0.0004","0.0004","0.0004","0.00024","0.00024","0.00024","0.00012","0.00012","0.00012","0.00004","0.00004","0.00004","0.000011999999999999999","0.000011999999999999999","0.000011999999999999999","0.000004000000000000001","0.000004000000000000001","0.000004000000000000001","0.0000012000000000000002","0.0000012000000000000002","0.0000012000000000000002","0.0012","0.0012","0.0012","4.0000000000000003e-7","4.0000000000000003e-7","4.0000000000000003e-7"
"50","0.0005","0.0005","0.0005","0.00030000000000000003","0.00030000000000000003","0.00030000000000000003","0.00015000000000000001","0.00015000000000000001","0.00015000000000000001","0.00005","0.00005","0.00005","0.000014999999999999999","0.000014999999999999999","0.000014999999999999999","0.000005","0.000005","0.000005","0.0000015","0.0000015","0.0000015","0.0015","0.0015","0.0015","5.000000000000001e-7","5.000000000000001e-7","5.000000000000001e-7"
"60","0.0006","0.0006","0.0006","0.00035999999999999997","0.00035999999999999997","0.00035999999999999997","0.00017999999999999998","0.00017999999999999998","0.00017999999999999998","0.00006","0.00006","0.00006","0.000017999999999999997","0.000017999999999999997","0.000017999999999999997","0.000006","0.000006","0.000006","0.0000018","0.0000018","0.0000018","0.0018","0.0018","0.0018","6.000000000000001e-7","6.000000000000001e-7","6.000000000000001e-7"
"70","0.0007000000000000001","0.0007000000000000001","0.0007000000000000001","0.00042000000000000007","0.00042000000000000007","0.00042000000000000007","0.00021000000000000004","0.00021000000000000004","0.00021000000000000004","0.00007000000000000001","0.00007000000000000001","0.00007000000000000001","0.000021","0.000021","0.000021","0.000007000000000000001","0.000007000000000000001","0.000007000000000000001","0.0000021000000000000002","0.0000021000000000000002","0.0000021000000000000002","0.0021000000000000003","0.0021000000000000003","0.0021000000000000003","7.000000000000001e-7","7.000000000000001e-7","7.000000000000001e-7"
"80","0.0008","0.0008","0.0008","0.00048","0.00048","0.00048","0.00024","0.00024","0.00024","0.00008","0.00008","0.00008","0.000023999999999999997","0.000023999999999999997","0.000023999999999999997","0.000008000000000000001","0.000008000000000000001","0.000008000000000000001","0.0000024000000000000003","0.0000024000000000000003","0.0000024000000000000003","0.0024","0.0024","0.0024","8.000000000000001e-7","8.000000000000001e-7","8.000000000000001e-7"
"90","0.0009","0.0009","0.0009","0.00054","0.00054","0.00054","0.00027","0.00027","0.00027","0.00008999999999999999","0.00008999999999999999","0.00008999999999999999","0.000026999999999999996","0.000026999999999999996","0.000026999999999999996","0.000009","0.000009","0.000009","0.0000027","0.0000027","0.0000027","0.0026999999999999997","0.0026999999999999997","0.0026999999999999997","9.000000000000001e-7","9.000000000000001e-7","9.000000000000001e-7"
"100","0.001","0.001","0.001","0.0006000000000000001","0.0006000000000000001","0.0006000000000000001","0.00030000000000000003","0.00030000000000000003","0.00030000000000000003","0.0001","0.0001","0.0001","0.000029999999999999997","0.000029999999999999997","0.000029999999999999997","0.00001","0.00001","0.00001","0.000003","0.000003","0.000003","0.003","0.003","0.003","0.0000010000000000000002","0.0000010000000000000002","0.0000010000000000000002"
"110","0.0011","0.0011","0.0011","0.00066","0.00066","0.00066","0.00033","0.00033","0.00033","0.00011","0.00011","0.00011","0.000032999999999999996","0.000032999999999999996","0.000032999999999999996","0.000011000000000000001","0.000011000000000000001","0.000011000000000000001","0.0000033","0.0000033","0.0000033","0.0033","0.0033","0.0033","0.0000011","0.0000011","0.0000011"
"120","0.0012","0.0012","0.0012","0.0007199999999999999","0.0007199999999999999","0.0007199999999999999","0.00035999999999999997","0.00035999999999999997","0.00035999999999999997","0.00012","0.00012","0.00012","0.000035999999999999994","0.000035999999999999994","0.000035999999999999994","0.000012","0.000012","0.000012","0.0000036","0.0000036","0.0000036","0.0036","0.0036","0.0036","0.0000012000000000000002","0.0000012000000000000002","0.0000012000000000000002"
"130","0.0013000000000000002","0.0013000000000000002","0.0013000000000000002","0.0007800000000000001","0.0007800000000000001","0.0007800000000000001","0.00039000000000000005","0.00039000000000000005","0.00039000000000000005","0.00013000000000000002","0.00013000000000000002","0.00013000000000000002","0.000039","0.000039","0.000039","0.000013000000000000001","0.000013000000000000001","0.000013000000000000001","0.0000039","0.0000039","0.0000039","0.0039","0.0039","0.0039","0.0000013","0.0000013","0.0000013"
"140","0.0014000000000000002","0.0014000000000000002","0.0014000000000000002","0.0008400000000000001","0.0008400000000000001","0.0008400000000000001","0.00042000000000000007","0.00042000000000000007","0.00042000000000000007","0.00014000000000000001","0.00014000000000000001","0.00014000000000000001","0.000042","0.000042","0.000042","0.000014000000000000001","0.000014000000000000001","0.000014000000000000001","0.0000042000000000000004","0.0000042000000000000004","0.0000042000000000000004","0.004200000000000001","0.004200000000000001","0.004200000000000001","0.0000014000000000000001","0.0000014000000000000001","0.0000014000000000000001"
"150","0.0015","0.0015","0.0015","0.0009","0.0009","0.0009","0.00045","0.00045","0.00045","0.00015","0.00015","0.00015","0.000044999999999999996","0.000044999999999999996","0.000044999999999999996","0.000015","0.000015","0.000015","0.0000045","0.0000045","0.0000045","0.0045","0.0045","0.0045","0.0000015","0.0000015","0.0000015"
"160","0.0016","0.0016","0.0016","0.00096","0.00096","0.00096","0.00048","0.00048","0.00048","0.00016","0.00016","0.00016","0.000047999999999999994","0.000047999999999999994","0.000047999999999999994","0.000016000000000000003","0.000016000000000000003","0.000016000000000000003","0.000004800000000000001","0.000004800000000000001","0.000004800000000000001","0.0048","0.0048","0.0048","0.0000016000000000000001","0.0000016000000000000001","0.0000016000000000000001"
"170","0.0017000000000000001","0.0017000000000000001","0.0017000000000000001","0.00102","0.00102","0.00102","0.00051","0.00051","0.00051","0.00017","0.00017","0.00017","0.000051","0.000051","0.000051","0.000017000000000000003","0.000017000000000000003","0.000017000000000000003","0.0000051","0.0000051","0.0000051","0.0051","0.0051","0.0051","0.0000017000000000000002","0.0000017000000000000002","0.0000017000000000000002"
"180","0.0018","0.0018","0.0018","0.00108","0.00108","0.00108","0.00054","0.00054","0.00054","0.00017999999999999998","0.00017999999999999998","0.00017999999999999998","0.00005399999999999999","0.00005399999999999999","0.00005399999999999999","0.000018","0.000018","0.000018","0.0000054","0.0000054","0.0000054","0.005399999999999999","0.005399999999999999","0.005399999999999999","0.0000018000000000000001","0.0000018000000000000001","0.0000018000000000000001"
"190","0.0019","0.0019","0.0019","0.00114","0.00114","0.00114","0.00057","0.00057","0.00057","0.00019","0.00019","0.00019","0.000056999999999999996","0.000056999999999999996","0.000056999999999999996","0.000019","0.000019","0.000019","0.0000057000000000000005","0.0000057000000000000005","0.0000057000000000000005","0.0057","0.0057","0.0057","0.0000019000000000000002","0.0000019000000000000002","0.0000019000000000000002"
"200","0.002","0.002","0.002","0.0012000000000000001","0.0012000000000000001","0.0012000000000000001","0.0006000000000000001","0.0006000000000000001","0.0006000000000000001","0.0002","0.0002","0.0002","0.000059999999999999995","0.000059999999999999995","0.000059999999999999995","0.00002","0.00002","0.00002","0.000006","0.000006","0.000006","0.006","0.006","0.006","0.0000020000000000000003","0.0000020000000000000003","0.0000020000000000000003"
"210","0.0021","0.0021","0.0021","0.00126","0.00126","0.00126","0.00063","0.00063","0.00063","0.00021","0.00021","0.00021","0.00006299999999999999","0.00006299999999999999","0.00006299999999999999","0.000021","0.000021","0.000021","0.0000063","0.0000063","0.0000063","0.006299999999999999","0.006299999999999999","0.006299999999999999","0.0000021000000000000002","0.0000021000000000000002","0.0000021000000000000002"
"220","0.0022","0.0022","0.0022","0.00132","0.00132","0.00132","0.00066","0.00066","0.00066","0.00022","0.00022","0.00022","0.00006599999999999999","0.00006599999999999999","0.00006599999999999999","0.000022000000000000003","0.000022000000000000003","0.000022000000000000003","0.0000066","0.0000066","0.0000066","0.0066","0.0066","0.0066","0.0000022","0.0000022","0.0000022"
"230","0.0023","0.0023","0.0023","0.0013800000000000002","0.0013800000000000002","0.0013800000000000002","0.0006900000000000001","0.0006900000000000001","0.0006900000000000001","0.00023","0.00023","0.00023","0.000069","0.000069","0.000069","0.000023000000000000003","0.000023000000000000003","0.000023000000000000003","0.000006900000000000001","0.000006900000000000001","0.000006900000000000001","0.0069","0.0069","0.0069","0.0000023000000000000004","0.0000023000000000000004","0.0000023000000000000004"
