"Step","ts-lr0.01 - train/loss","ts-lr0.01 - train/loss__MIN","ts-lr0.01 - train/loss__MAX","ts-lr0.006 - train/loss","ts-lr0.006 - train/loss__MIN","ts-lr0.006 - train/loss__MAX","ts-lr0.003 - train/loss","ts-lr0.003 - train/loss__MIN","ts-lr0.003 - train/loss__MAX","ts-lr0.001 - train/loss","ts-lr0.001 - train/loss__MIN","ts-lr0.001 - train/loss__MAX","ts-lr0.0003 - train/loss","ts-lr0.0003 - train/loss__MIN","ts-lr0.0003 - train/loss__MAX","ts-lr0.0001 - train/loss","ts-lr0.0001 - train/loss__MIN","ts-lr0.0001 - train/loss__MAX","ts-lr3e-05 - train/loss","ts-lr3e-05 - train/loss__MIN","ts-lr3e-05 - train/loss__MAX","ts-lr0.03 - train/loss","ts-lr0.03 - train/loss__MIN","ts-lr0.03 - train/loss__MAX","ts-lr1e-05 - train/loss","ts-lr1e-05 - train/loss__MIN","ts-lr1e-05 - train/loss__MAX"
"0","9.257535934448242","9.257535934448242","9.257535934448242","9.256183624267578","9.256183624267578","9.256183624267578","9.255945205688477","9.255945205688477","9.255945205688477","9.255626678466797","9.255626678466797","9.255626678466797","9.257328033447266","9.257328033447266","9.257328033447266","9.254843711853027","9.254843711853027","9.254843711853027","9.257346153259277","9.257346153259277","9.257346153259277","9.254936218261719","9.254936218261719","9.254936218261719","9.253267288208008","9.253267288208008","9.253267288208008"
"10","8.265260696411133","8.265260696411133","8.265260696411133","8.589548110961914","8.589548110961914","8.589548110961914","8.898183822631836","8.898183822631836","8.898183822631836","9.131081581115723","9.131081581115723","9.131081581115723","9.218505859375","9.218505859375","9.218505859375","9.243566513061523","9.243566513061523","9.243566513061523","9.252002716064453","9.252002716064453","9.252002716064453","7.157206058502197","7.157206058502197","7.157206058502197","9.254500389099121","9.254500389099121","9.254500389099121"
"20","6.461024284362793","6.461024284362793","6.461024284362793","7.25679874420166","7.25679874420166","7.25679874420166","7.993226051330566","7.993226051330566","7.993226051330566","8.747127532958984","8.747127532958984","8.747127532958984","9.098909378051758","9.098909378051758","9.098909378051758","9.204788208007812","9.204788208007812","9.204788208007812","9.239828109741211","9.239828109741211","9.239828109741211","4.830232620239258","4.830232620239258","4.830232620239258","9.252187728881836","9.252187728881836","9.252187728881836"
"30","4.992671012878418","4.992671012878418","4.992671012878418","5.764247894287109","5.764247894287109","5.764247894287109","6.9641337394714355","6.9641337394714355","6.9641337394714355","8.183170318603516","8.183170318603516","8.183170318603516","8.900477409362793","8.900477409362793","8.900477409362793","9.136316299438477","9.136316299438477","9.136316299438477","9.220499992370605","9.220499992370605","9.220499992370605","4.073751449584961","4.073751449584961","4.073751449584961","9.247272491455078","9.247272491455078","9.247272491455078"
"40","4.306918621063232","4.306918621063232","4.306918621063232","4.839681625366211","4.839681625366211","4.839681625366211","5.879364967346191","5.879364967346191","5.879364967346191","7.590298175811768","7.590298175811768","7.590298175811768","8.62450885772705","8.62450885772705","8.62450885772705","9.045646667480469","9.045646667480469","9.045646667480469","9.19171142578125","9.19171142578125","9.19171142578125","3.701137065887451","3.701137065887451","3.701137065887451","9.2369384765625","9.2369384765625","9.2369384765625"
"50","3.9058427810668945","3.9058427810668945","3.9058427810668945","4.3164496421813965","4.3164496421813965","4.3164496421813965","5.085223197937012","5.085223197937012","5.085223197937012","6.934823513031006","6.934823513031006","6.934823513031006","8.283355712890625","8.283355712890625","8.283355712890625","8.91288948059082","8.91288948059082","8.91288948059082","9.152322769165039","9.152322769165039","9.152322769165039","3.54658842086792","3.54658842086792","3.54658842086792","9.22177791595459","9.22177791595459","9.22177791595459"
"60","3.6994235515594482","3.6994235515594482","3.6994235515594482","3.952397346496582","3.952397346496582","3.952397346496582","4.59735107421875","4.59735107421875","4.59735107421875","6.2709527015686035","6.2709527015686035","6.2709527015686035","7.934617042541504","7.934617042541504","7.934617042541504","8.762823104858398","8.762823104858398","8.762823104858398","9.108600616455078","9.108600616455078","9.108600616455078","3.286566734313965","3.286566734313965","3.286566734313965","9.204238891601562","9.204238891601562","9.204238891601562"
"70","3.439953327178955","3.439953327178955","3.439953327178955","3.677255868911743","3.677255868911743","3.677255868911743","4.2217488288879395","4.2217488288879395","4.2217488288879395","5.703047752380371","5.703047752380371","5.703047752380371","7.584305763244629","7.584305763244629","7.584305763244629","8.57638931274414","8.57638931274414","8.57638931274414","9.053688049316406","9.053688049316406","9.053688049316406","3.1328048706054688","3.1328048706054688","3.1328048706054688","9.190330505371094","9.190330505371094","9.190330505371094"
"80","3.2199110984802246","3.2199110984802246","3.2199110984802246","3.4890661239624023","3.4890661239624023","3.4890661239624023","3.9539051055908203","3.9539051055908203","3.9539051055908203","5.262316703796387","5.262316703796387","5.262316703796387","7.229170799255371","7.229170799255371","7.229170799255371","8.37181282043457","8.37181282043457","8.37181282043457","8.993436813354492","8.993436813354492","8.993436813354492","2.9315526485443115","2.9315526485443115","2.9315526485443115","9.170947074890137","9.170947074890137","9.170947074890137"
"90","3.1146440505981445","3.1146440505981445","3.1146440505981445","3.3232150077819824","3.3232150077819824","3.3232150077819824","3.6928205490112305","3.6928205490112305","3.6928205490112305","4.837323188781738","4.837323188781738","4.837323188781738","6.877565860748291","6.877565860748291","6.877565860748291","8.161279678344727","8.161279678344727","8.161279678344727","8.919198989868164","8.919198989868164","8.919198989868164","2.8104331493377686","2.8104331493377686","2.8104331493377686","9.144533157348633","9.144533157348633","9.144533157348633"
"100","2.9779205322265625","2.9779205322265625","2.9779205322265625","3.151001214981079","3.151001214981079","3.151001214981079","3.5027947425842285","3.5027947425842285","3.5027947425842285","4.496613025665283","4.496613025665283","4.496613025665283","6.501060485839844","6.501060485839844","6.501060485839844","7.955339431762695","7.955339431762695","7.955339431762695","8.836277961730957","8.836277961730957","8.836277961730957","2.7859206199645996","2.7859206199645996","2.7859206199645996","9.120561599731445","9.120561599731445","9.120561599731445"
"110","2.7791519165039062","2.7791519165039062","2.7791519165039062","3.040553092956543","3.040553092956543","3.040553092956543","3.403449773788452","3.403449773788452","3.403449773788452","4.263911247253418","4.263911247253418","4.263911247253418","6.133946418762207","6.133946418762207","6.133946418762207","7.757650375366211","7.757650375366211","7.757650375366211","8.738639831542969","8.738639831542969","8.738639831542969","2.6719679832458496","2.6719679832458496","2.6719679832458496","9.092358589172363","9.092358589172363","9.092358589172363"
"120","2.7200987339019775","2.7200987339019775","2.7200987339019775","2.9515740871429443","2.9515740871429443","2.9515740871429443","3.2683067321777344","3.2683067321777344","3.2683067321777344","4.085883140563965","4.085883140563965","4.085883140563965","5.795960903167725","5.795960903167725","5.795960903167725","7.559425354003906","7.559425354003906","7.559425354003906","8.635055541992188","8.635055541992188","8.635055541992188","2.620154857635498","2.620154857635498","2.620154857635498","9.05676555633545","9.05676555633545","9.05676555633545"
"130","2.6453943252563477","2.6453943252563477","2.6453943252563477","2.8251500129699707","2.8251500129699707","2.8251500129699707","3.173370361328125","3.173370361328125","3.173370361328125","3.8684659004211426","3.8684659004211426","3.8684659004211426","5.498350143432617","5.498350143432617","5.498350143432617","7.3515167236328125","7.3515167236328125","7.3515167236328125","8.531850814819336","8.531850814819336","8.531850814819336","2.585914134979248","2.585914134979248","2.585914134979248","9.020965576171875","9.020965576171875","9.020965576171875"
"140","2.5421977043151855","2.5421977043151855","2.5421977043151855","2.7133474349975586","2.7133474349975586","2.7133474349975586","3.035181760787964","3.035181760787964","3.035181760787964","3.7324793338775635","3.7324793338775635","3.7324793338775635","5.254546165466309","5.254546165466309","5.254546165466309","7.142335891723633","7.142335891723633","7.142335891723633","8.418752670288086","8.418752670288086","8.418752670288086","2.471547842025757","2.471547842025757","2.471547842025757","8.983465194702148","8.983465194702148","8.983465194702148"
