"Step","ts-lr0.01 - train/lr","ts-lr0.01 - train/lr__MIN","ts-lr0.01 - train/lr__MAX","ts-lr0.006 - train/lr","ts-lr0.006 - train/lr__MIN","ts-lr0.006 - train/lr__MAX","ts-lr0.003 - train/lr","ts-lr0.003 - train/lr__MIN","ts-lr0.003 - train/lr__MAX","ts-lr0.001 - train/lr","ts-lr0.001 - train/lr__MIN","ts-lr0.001 - train/lr__MAX","ts-lr0.0003 - train/lr","ts-lr0.0003 - train/lr__MIN","ts-lr0.0003 - train/lr__MAX","ts-lr0.0001 - train/lr","ts-lr0.0001 - train/lr__MIN","ts-lr0.0001 - train/lr__MAX","ts-lr3e-05 - train/lr","ts-lr3e-05 - train/lr__MIN","ts-lr3e-05 - train/lr__MAX","ts-lr0.03 - train/lr","ts-lr0.03 - train/lr__MIN","ts-lr0.03 - train/lr__MAX","ts-lr1e-05 - train/lr","ts-lr1e-05 - train/lr__MIN","ts-lr1e-05 - train/lr__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0.0002","0.0002","0.0002","0.00012","0.00012","0.00012","0.00006","0.00006","0.00006","0.00002","0.00002","0.00002","0.000005999999999999999","0.000005999999999999999","0.000005999999999999999","0.0000020000000000000003","0.0000020000000000000003","0.0000020000000000000003","6.000000000000001e-7","6.000000000000001e-7","6.000000000000001e-7","0.0006","0.0006","0.0006","2.0000000000000002e-7","2.0000000000000002e-7","2.0000000000000002e-7"
"20","0.0004","0.0004","0.0004","0.00024","0.00024","0.00024","0.00012","0.00012","0.00012","0.00004","0.00004","0.00004","0.000011999999999999999","0.000011999999999999999","0.000011999999999999999","0.000004000000000000001","0.000004000000000000001","0.000004000000000000001","0.0000012000000000000002","0.0000012000000000000002","0.0000012000000000000002","0.0012","0.0012","0.0012","4.0000000000000003e-7","4.0000000000000003e-7","4.0000000000000003e-7"
"30","0.0006","0.0006","0.0006","0.00035999999999999997","0.00035999999999999997","0.00035999999999999997","0.00017999999999999998","0.00017999999999999998","0.00017999999999999998","0.00006","0.00006","0.00006","0.000017999999999999997","0.000017999999999999997","0.000017999999999999997","0.000006","0.000006","0.000006","0.0000018","0.0000018","0.0000018","0.0018","0.0018","0.0018","6.000000000000001e-7","6.000000000000001e-7","6.000000000000001e-7"
"40","0.0008","0.0008","0.0008","0.00048","0.00048","0.00048","0.00024","0.00024","0.00024","0.00008","0.00008","0.00008","0.000023999999999999997","0.000023999999999999997","0.000023999999999999997","0.000008000000000000001","0.000008000000000000001","0.000008000000000000001","0.0000024000000000000003","0.0000024000000000000003","0.0000024000000000000003","0.0024","0.0024","0.0024","8.000000000000001e-7","8.000000000000001e-7","8.000000000000001e-7"
"50","0.001","0.001","0.001","0.0006000000000000001","0.0006000000000000001","0.0006000000000000001","0.00030000000000000003","0.00030000000000000003","0.00030000000000000003","0.0001","0.0001","0.0001","0.000029999999999999997","0.000029999999999999997","0.000029999999999999997","0.00001","0.00001","0.00001","0.000003","0.000003","0.000003","0.003","0.003","0.003","0.0000010000000000000002","0.0000010000000000000002","0.0000010000000000000002"
"60","0.0012","0.0012","0.0012","0.0007199999999999999","0.0007199999999999999","0.0007199999999999999","0.00035999999999999997","0.00035999999999999997","0.00035999999999999997","0.00012","0.00012","0.00012","0.000035999999999999994","0.000035999999999999994","0.000035999999999999994","0.000012","0.000012","0.000012","0.0000036","0.0000036","0.0000036","0.0036","0.0036","0.0036","0.0000012000000000000002","0.0000012000000000000002","0.0000012000000000000002"
"70","0.0014000000000000002","0.0014000000000000002","0.0014000000000000002","0.0008400000000000001","0.0008400000000000001","0.0008400000000000001","0.00042000000000000007","0.00042000000000000007","0.00042000000000000007","0.00014000000000000001","0.00014000000000000001","0.00014000000000000001","0.000042","0.000042","0.000042","0.000014000000000000001","0.000014000000000000001","0.000014000000000000001","0.0000042000000000000004","0.0000042000000000000004","0.0000042000000000000004","0.004200000000000001","0.004200000000000001","0.004200000000000001","0.0000014000000000000001","0.0000014000000000000001","0.0000014000000000000001"
"80","0.0016","0.0016","0.0016","0.00096","0.00096","0.00096","0.00048","0.00048","0.00048","0.00016","0.00016","0.00016","0.000047999999999999994","0.000047999999999999994","0.000047999999999999994","0.000016000000000000003","0.000016000000000000003","0.000016000000000000003","0.000004800000000000001","0.000004800000000000001","0.000004800000000000001","0.0048","0.0048","0.0048","0.0000016000000000000001","0.0000016000000000000001","0.0000016000000000000001"
"90","0.0018","0.0018","0.0018","0.00108","0.00108","0.00108","0.00054","0.00054","0.00054","0.00017999999999999998","0.00017999999999999998","0.00017999999999999998","0.00005399999999999999","0.00005399999999999999","0.00005399999999999999","0.000018","0.000018","0.000018","0.0000054","0.0000054","0.0000054","0.005399999999999999","0.005399999999999999","0.005399999999999999","0.0000018000000000000001","0.0000018000000000000001","0.0000018000000000000001"
"100","0.002","0.002","0.002","0.0012000000000000001","0.0012000000000000001","0.0012000000000000001","0.0006000000000000001","0.0006000000000000001","0.0006000000000000001","0.0002","0.0002","0.0002","0.000059999999999999995","0.000059999999999999995","0.000059999999999999995","0.00002","0.00002","0.00002","0.000006","0.000006","0.000006","0.006","0.006","0.006","0.0000020000000000000003","0.0000020000000000000003","0.0000020000000000000003"
