"Step","main-owt (Run set) - train/loss","main-owt (Run set) - train/loss__MIN","main-owt (Run set) - train/loss__MAX","baseline-ts (Run set 2) - train/loss","baseline-ts (Run set 2) - train/loss__MIN","baseline-ts (Run set 2) - train/loss__MAX"
"0","10.391990661621094","10.391990661621094","10.391990661621094","9.254241943359375","9.254241943359375","9.254241943359375"
"10","10.20202922821045","10.20202922821045","10.20202922821045","8.687047004699707","8.687047004699707","8.687047004699707"
"20","9.443133354187012","9.443133354187012","9.443133354187012","7.507643699645996","7.507643699645996","7.507643699645996"
"30","8.437384605407715","8.437384605407715","8.437384605407715","6.120179653167725","6.120179653167725","6.120179653167725"
"40","7.6312971115112305","7.6312971115112305","7.6312971115112305","5.115731239318848","5.115731239318848","5.115731239318848"
"50","7.348788261413574","7.348788261413574","7.348788261413574","4.543473243713379","4.543473243713379","4.543473243713379"
"60","7.1902875900268555","7.1902875900268555","7.1902875900268555","4.153042793273926","4.153042793273926","4.153042793273926"
"70","7.057121276855469","7.057121276855469","7.057121276855469","3.8719706535339355","3.8719706535339355","3.8719706535339355"
"80","6.857399940490723","6.857399940490723","6.857399940490723","3.6697912216186523","3.6697912216186523","3.6697912216186523"
"90","6.67052698135376","6.67052698135376","6.67052698135376","3.533937454223633","3.533937454223633","3.533937454223633"
"100","6.504766464233398","6.504766464233398","6.504766464233398","3.3442540168762207","3.3442540168762207","3.3442540168762207"
"110","6.455777168273926","6.455777168273926","6.455777168273926","3.181504249572754","3.181504249572754","3.181504249572754"
"120","6.263731956481934","6.263731956481934","6.263731956481934","3.045448064804077","3.045448064804077","3.045448064804077"
"130","6.226585388183594","6.226585388183594","6.226585388183594","2.962277889251709","2.962277889251709","2.962277889251709"
"140","6.209983825683594","6.209983825683594","6.209983825683594","2.9215378761291504","2.9215378761291504","2.9215378761291504"
"150","6.0608062744140625","6.0608062744140625","6.0608062744140625","2.914281129837036","2.914281129837036","2.914281129837036"
"160","6.008955478668213","6.008955478668213","6.008955478668213","2.78271484375","2.78271484375","2.78271484375"
"170","5.913508415222168","5.913508415222168","5.913508415222168","2.6780269145965576","2.6780269145965576","2.6780269145965576"
"180","5.830875873565674","5.830875873565674","5.830875873565674","2.6986212730407715","2.6986212730407715","2.6986212730407715"
"190","5.859339237213135","5.859339237213135","5.859339237213135","2.563809394836426","2.563809394836426","2.563809394836426"
"200","5.754850387573242","5.754850387573242","5.754850387573242","2.5340614318847656","2.5340614318847656","2.5340614318847656"
"210","5.775057792663574","5.775057792663574","5.775057792663574","2.5643696784973145","2.5643696784973145","2.5643696784973145"
"220","5.677740573883057","5.677740573883057","5.677740573883057","2.46791934967041","2.46791934967041","2.46791934967041"
"230","5.7268171310424805","5.7268171310424805","5.7268171310424805","2.472532272338867","2.472532272338867","2.472532272338867"
"240","5.562919616699219","5.562919616699219","5.562919616699219","2.4513139724731445","2.4513139724731445","2.4513139724731445"
"250","5.607290267944336","5.607290267944336","5.607290267944336","2.5097391605377197","2.5097391605377197","2.5097391605377197"
"260","5.577516555786133","5.577516555786133","5.577516555786133","2.389815330505371","2.389815330505371","2.389815330505371"
"270","5.54403018951416","5.54403018951416","5.54403018951416","2.3613944053649902","2.3613944053649902","2.3613944053649902"
"280","5.461630821228027","5.461630821228027","5.461630821228027","2.3551599979400635","2.3551599979400635","2.3551599979400635"
"290","5.520421028137207","5.520421028137207","5.520421028137207","2.277306079864502","2.277306079864502","2.277306079864502"
"300","5.566681861877441","5.566681861877441","5.566681861877441","2.299082040786743","2.299082040786743","2.299082040786743"
"310","5.468769550323486","5.468769550323486","5.468769550323486","2.2460474967956543","2.2460474967956543","2.2460474967956543"
"320","5.4640092849731445","5.4640092849731445","5.4640092849731445","2.305225372314453","2.305225372314453","2.305225372314453"
"330","5.550573348999023","5.550573348999023","5.550573348999023","2.28419828414917","2.28419828414917","2.28419828414917"
"340","5.478235244750977","5.478235244750977","5.478235244750977","2.2509851455688477","2.2509851455688477","2.2509851455688477"
"350","5.407970905303955","5.407970905303955","5.407970905303955","2.1843295097351074","2.1843295097351074","2.1843295097351074"
"360","5.384407997131348","5.384407997131348","5.384407997131348","2.1657235622406006","2.1657235622406006","2.1657235622406006"
"370","5.4557647705078125","5.4557647705078125","5.4557647705078125","2.2495884895324707","2.2495884895324707","2.2495884895324707"
"380","5.538562297821045","5.538562297821045","5.538562297821045","2.2862913608551025","2.2862913608551025","2.2862913608551025"
"390","5.403663158416748","5.403663158416748","5.403663158416748","2.209561824798584","2.209561824798584","2.209561824798584"
"400","5.472511291503906","5.472511291503906","5.472511291503906","2.2039880752563477","2.2039880752563477","2.2039880752563477"
"410","5.39072322845459","5.39072322845459","5.39072322845459","2.2076644897460938","2.2076644897460938","2.2076644897460938"
"420","5.335111141204834","5.335111141204834","5.335111141204834","2.2112436294555664","2.2112436294555664","2.2112436294555664"
"430","5.3072190284729","5.3072190284729","5.3072190284729","2.12469482421875","2.12469482421875","2.12469482421875"
"440","5.374053001403809","5.374053001403809","5.374053001403809","2.226428747177124","2.226428747177124","2.226428747177124"
"450","5.318802833557129","5.318802833557129","5.318802833557129","2.1952953338623047","2.1952953338623047","2.1952953338623047"
"460","5.324460983276367","5.324460983276367","5.324460983276367","2.141045570373535","2.141045570373535","2.141045570373535"
"470","5.336759090423584","5.336759090423584","5.336759090423584","2.185819625854492","2.185819625854492","2.185819625854492"
"480","5.4054083824157715","5.4054083824157715","5.4054083824157715","2.133882522583008","2.133882522583008","2.133882522583008"
"490","5.286373138427734","5.286373138427734","5.286373138427734","2.186420202255249","2.186420202255249","2.186420202255249"
"500","5.3391523361206055","5.3391523361206055","5.3391523361206055","2.215787649154663","2.215787649154663","2.215787649154663"
"510","5.292327880859375","5.292327880859375","5.292327880859375","2.1188645362854004","2.1188645362854004","2.1188645362854004"
"520","5.247120380401611","5.247120380401611","5.247120380401611","2.167888641357422","2.167888641357422","2.167888641357422"
"530","5.329485893249512","5.329485893249512","5.329485893249512","2.0995984077453613","2.0995984077453613","2.0995984077453613"
"540","5.3511152267456055","5.3511152267456055","5.3511152267456055","2.112722396850586","2.112722396850586","2.112722396850586"
"550","5.234982967376709","5.234982967376709","5.234982967376709","2.198267698287964","2.198267698287964","2.198267698287964"
"560","5.306675434112549","5.306675434112549","5.306675434112549","2.0496065616607666","2.0496065616607666","2.0496065616607666"
"570","5.2544097900390625","5.2544097900390625","5.2544097900390625","2.174899101257324","2.174899101257324","2.174899101257324"
"580","5.194226264953613","5.194226264953613","5.194226264953613","2.1742687225341797","2.1742687225341797","2.1742687225341797"
"590","5.17943811416626","5.17943811416626","5.17943811416626","2.125786542892456","2.125786542892456","2.125786542892456"
"600","5.227635383605957","5.227635383605957","5.227635383605957","2.039395809173584","2.039395809173584","2.039395809173584"
"610","5.192985534667969","5.192985534667969","5.192985534667969","2.073197364807129","2.073197364807129","2.073197364807129"
"620","5.158903121948242","5.158903121948242","5.158903121948242","2.1178345680236816","2.1178345680236816","2.1178345680236816"
"630","5.209278106689453","5.209278106689453","5.209278106689453","2.0706264972686768","2.0706264972686768","2.0706264972686768"
"640","5.180948257446289","5.180948257446289","5.180948257446289","2.0945699214935303","2.0945699214935303","2.0945699214935303"
"650","5.140685081481934","5.140685081481934","5.140685081481934","2.060242176055908","2.060242176055908","2.060242176055908"
"660","5.181662559509277","5.181662559509277","5.181662559509277","2.0758442878723145","2.0758442878723145","2.0758442878723145"
"670","5.1074371337890625","5.1074371337890625","5.1074371337890625","2.0562353134155273","2.0562353134155273","2.0562353134155273"
"680","5.106428146362305","5.106428146362305","5.106428146362305","2.0519795417785645","2.0519795417785645","2.0519795417785645"
"690","5.0705976486206055","5.0705976486206055","5.0705976486206055","2.081368923187256","2.081368923187256","2.081368923187256"
"700","5.132541656494141","5.132541656494141","5.132541656494141","1.9996459484100342","1.9996459484100342","1.9996459484100342"
"710","5.043277740478516","5.043277740478516","5.043277740478516","2.0875892639160156","2.0875892639160156","2.0875892639160156"
"720","5.115035533905029","5.115035533905029","5.115035533905029","2.038212299346924","2.038212299346924","2.038212299346924"
"730","5.174000263214111","5.174000263214111","5.174000263214111","2.0277156829833984","2.0277156829833984","2.0277156829833984"
"740","5.067382335662842","5.067382335662842","5.067382335662842","1.9770455360412598","1.9770455360412598","1.9770455360412598"
"750","5.106321334838867","5.106321334838867","5.106321334838867","1.998748540878296","1.998748540878296","1.998748540878296"
"760","5.068851470947266","5.068851470947266","5.068851470947266","2.058269500732422","2.058269500732422","2.058269500732422"
"770","5.098587989807129","5.098587989807129","5.098587989807129","2.02303409576416","2.02303409576416","2.02303409576416"
"780","5.026391983032227","5.026391983032227","5.026391983032227","2.028108835220337","2.028108835220337","2.028108835220337"
"790","5.073619842529297","5.073619842529297","5.073619842529297","2.0134100914001465","2.0134100914001465","2.0134100914001465"
"800","5.063042640686035","5.063042640686035","5.063042640686035","1.9822620153427124","1.9822620153427124","1.9822620153427124"
"810","5.072716236114502","5.072716236114502","5.072716236114502","1.9965033531188965","1.9965033531188965","1.9965033531188965"
